GENERATION_PROJECT	timepoint	gen_max_capacity_factor
Sim_Gideon_3	2	1
Spencer_4	1	1
Spencer_4	2	1
Spencer_5	1	1
Spencer_5	2	1
Stryker_Creek_1	1	1
Stryker_Creek_1	2	1
Stryker_Creek_2	1	1
Stryker_Creek_2	2	1
Trinidad_6	1	1
Trinidad_6	2	1
V_H_Braunig_1	1	1
V_H_Braunig_1	2	1
V_H_Braunig_2	1	1
V_H_Braunig_2	2	1
V_H_Braunig_3	1	1
V_H_Braunig_3	2	1
W_A_Parish_1	1	1
W_A_Parish_1	2	1
W_A_Parish_2	1	1
W_A_Parish_2	2	1
W_A_Parish_3	1	1
W_A_Parish_3	2	1
W_A_Parish_4	1	1
W_A_Parish_4	2	1
Acacia_Solar	1	1
Acacia_Solar	2	1
Barilla_Solar_(FS,_Pecos)	1	1
Barilla_Solar_(FS,_Pecos)	2	1
Blue_Wing_1_Solar	1	1
Blue_Wing_1_Solar	2	1
Blue_Wing_2_Solar	1	1
Blue_Wing_2_Solar	2	1
Downie_Ranch_Solar_(OCI_Alamo_5)	1	1
Downie_Ranch_Solar_(OCI_Alamo_5)	2	1
OCI_Alamo_1_Solar	1	1
OCI_Alamo_1_Solar	2	1
OCI_Alamo_2-St._Hedwig_Solar	1	1
OCI_Alamo_2-St._Hedwig_Solar	2	1
OCI_Alamo_3-Walzem_Solar	1	1
OCI_Alamo_3-Walzem_Solar	2	1
OCI_Alamo_4_Solar_(Bracketville)	1	1
OCI_Alamo_4_Solar_(Bracketville)	2	1
Renewable_Energy_Alternatives_CCS1	1	1
Renewable_Energy_Alternatives_CCS1	2	1
SunEdison_CPS3_Somerset_1_Solar	1	1
SunEdison_CPS3_Somerset_1_Solar	2	1
SunEdison_Rabel_Road_Solar	1	1
SunEdison_Rabel_Road_Solar	2	1
SunEdison_Somerset_2_Solar	1	1
SunEdison_Somerset_2_Solar	2	1
SunEdison_Valley_Road_Solar	1	1
SunEdison_Valley_Road_Solar	2	1
Webberville_Solar	1	1
Webberville_Solar	2	1
Notrees_Battery_Facility	1	1
Notrees_Battery_Facility	2	1
Comanche_Peak_U1	1	1
Comanche_Peak_U1	2	1
Comanche_Peak_U2	1	1
Comanche_Peak_U2	2	1
South_Texas_U1	1	1
South_Texas_U1	2	1
South_Texas_U2	1	1
South_Texas_U2	2	1
Anacacho_Wind	1	1
Anacacho_Wind	2	1
Barton_Chapel_Wind	1	1
Barton_Chapel_Wind	2	1
Blue_Summit_Wind_5	1	1
Blue_Summit_Wind_5	2	1
Blue_Summit_Wind_6	1	1
Blue_Summit_Wind_6	2	1
Bobcat_Bluff_Wind	1	1
Bobcat_Bluff_Wind	2	1
Briscoe_Wind_Farm	1	1
Briscoe_Wind_Farm	2	1
Buffalo_Gap_Wind_Farm_1	1	1
Buffalo_Gap_Wind_Farm_1	2	1
Buffalo_Gap_Wind_Farm_2_1	1	1
Buffalo_Gap_Wind_Farm_2_1	2	1
Buffalo_Gap_Wind_Farm_2_2	1	1
Buffalo_Gap_Wind_Farm_2_2	2	1
Buffalo_Gap_Wind_Farm_3	1	1
Buffalo_Gap_Wind_Farm_3	2	1
Bull_Creek_Wind_Plant_U1	1	1
Bull_Creek_Wind_Plant_U1	2	1
Bull_Creek_Wind_Plant_U2	1	1
Bull_Creek_Wind_Plant_U2	2	1
Callahan_Wind	1	1
Callahan_Wind	2	1
Camp_Springs_Wind_1	1	1
