GEN_TP_FUELS_1	GEN_TP_FUELS_2	GEN_TP_FUELS_3	GenFuelUseRate
T_H_Wharton_GT_55	8	NG	0.0
Monticello_U2	7	Coal-Lig	0.0
Victoria_Texas_Plant	9	NG	80.10000000000001
Sandow_U5	3	Coal-Lig	0.0
Ray_Olinger_3	8	NG	0.0
Lost_Pines_1	11	NG	0.0
Silas_Ray_10	7	NG	454.848
Winchester_Power_Park_2	4	NG	0.0
Lake_Hubbard_2	1	NG	0.0
Hidalgo_1	10	NG	3282.6234
Bayou_Cogen_Plant	6	NG	1643.8631759999998
Powerlane_Plant_3	3	NG	0.0
Oak_Grove_SES_Unit_1	6	Coal-Lig	0.0
Permian_Basin_3	6	NG	0.0
Permian_Basin_5	12	NG	0.0
Sand_Hill_Energy_Center_GT_4	3	NG	0.0
Rio_Nogales_1	7	NG	6319.30495
Oyster_Creek_Unit_VIII	1	NG	4349.5885
Fayette_Power_Project_2	4	Coal-Sub	0.0
Greenville_Powerlane_IC3	3	NG	0.0
Fayette_Power_Project_1	7	Coal-Sub	0.0
C_R_Wing_Cogen_Plant	1	NG	0.0
Cedar_Bayou_4	2	NG	192.51799563435645
Optim_Energy_Altura_Cogen	7	NG	5641.714764
Monticello_U1	5	Coal-Sub	0.0
Morgan_Creek_4	11	NG	0.0
Oak_Grove_SES_Unit_2	10	Coal-Lig	0.0
Channel_Energy_Center	2	NG	6335.711356000001
Leon_Creek_Peaking_3	2	NG	0.0
Decker_Creek_G4	7	NG	0.0
Coleto_Creek	11	Coal-Sub	0.0
Victoria_Power_Station	4	NG	2520.5913
W_A_Parish_1	7	NG	0.0
Pearsall_IC_Engine_Plant_B	3	NG	495.33099
Panda_Temple_II_STG	9	NG	0.0
DeCordova_2	8	NG	0.0
Deer_Park_Energy_Center_1	7	NG	6961.78944
Lufkin_Biomass	1	Biomass	0.0
San_Miguel_1	7	Coal-Lig	0.0
Bastrop_Energy_Center_1	7	NG	4299.30059
Sand_Hill_Energy_Center_GT_3	2	NG	464.736
Powerlane_Plant_3	5	NG	0.0
Greenville_Powerlane_IC2	2	NG	0.0
Paris_Energy_Center_1	6	NG	0.0
