GEN_TPS_1	GEN_TPS_2	DispatchGen
Comanche_Peak_U1	2	1205.0
Javelina_Wind_Energy	1	125.0
W_A_Parish_7	1	0.0
Hereford_Wind_V	1	50.0
Lake_Hubbard_2	1	523.0
Turkey_Track_Wind_Energy_Center	1	84.75
ExTex_La_Porte_Power_Station_AirPro_4	1	0.0
Coleto_Creek	2	0.0
Sand_Hill_Energy_Center_GT_3	2	0.0
Sandow_U4	2	0.0
Optim_Energy_Altura_Cogen	1	478.8
Lone_Star_Wind_2_(Post_Oak)_U2	1	50.0
ExTex_La_Porte_Power_Station_AirPro_1	1	0.0
Corpus_Christi_Energy_Center	1	460.5
Panther_Creek_3	2	99.75
Spinning_Spur_3_Wind_2	2	0.0
Baytown_Energy_Center	1	794.8
Sand_Bluff_Wind_Farm	2	0.0
Loraine_Windpark_III	1	12.75
Horse_Hollow_Wind_2	1	79.0
Blue_Wing_1_Solar	1	3.8
Bobcat_Bluff_Wind	1	75.0
Whitetail_Wind_Energy	1	45.5
Texas_Gulf_Sulphur_(New_Gulf)	2	0.0
Pyron_Wind_Farm	2	57.9750000000005
Ferguson_Replacement	1	509.8
Inadale_Wind	2	98.3
V_H_Braunig_6	1	0.0
Decker_Creek_2	2	200.525
Panda_Sherman	1	717.0
Greens_Bayou_73	1	0.0
Indian_Mesa_Wind_Farm	2	41.25
Fayette_Power_Project_2	2	0.0
Paris_Energy_Center_1	2	0.0
Arthur_Von_Rosenberg_1	2	0.0
Lake_Hubbard_1	1	392.0
OCI_Alamo_2-St._Hedwig_Solar	2	2.2
Bull_Creek_Wind_Plant_U2	1	45.0
Panhandle_Wind_2_U2	2	48.3
Frontera_1	1	524.0
R_W_Miller_2	2	0.0
South_Plains_Wind_2	2	0.0
Midlothian_2	2	0.0
Lone_Star_Wind_2_(Post_Oak)_U1	1	50.0
Gulf_Wind_II	2	70.8
Martin_Lake_1	1	0.0
Greenville_Powerlane_IC1	2	8.4
Jumbo_Road_Wind_1	2	73.1
TSTC_West_Texas_Wind	1	1.0
Leon_Creek_Peaking_3	2	0.0
Cedro_Hill_Wind_1	1	37.5
Goldthwaite_Wind_1	1	74.3
Silver_Star_Wind	1	30.0
Blue_Summit_Wind_6	1	63.2
Goat_Wind	2	40.0
W_A_Parish_4	2	0.0
Ennis_Power_Station_1	1	312.0
Dansby_1	2	107.0
Acacia_Solar	1	4.99999999999893
W_A_Parish_6	2	0.0
Odessa_Ector_Generating_Station_1	1	861.999999999999
Oak_Grove_SES_Unit_1	1	0.0
Capricorn_Ridge_Wind_1	2	107.25
Notrees_Wind_Farm_1	1	46.3
J_T_Deely_1	1	0.0
SunEdison_Somerset_2_Solar	2	2.5
Oak_Grove_SES_Unit_2	1	0.0
Bull_Creek_Wind_Plant_U1	1	44.0
O_W_Sommers_1	1	0.0
BP_Chemicals_Green_Lake_Plant	2	0.0
Quail_Run_Energy_1	1	0.0
Sweeny_Cogen_Facility	2	0.0
Sand_Hill_Energy_Center_GT_6	1	0.0
DeCordova_3	2	0.0
Ocotillo_Wind_Farm	2	29.4
WKN_Mozart_Wind	2	0.0
J_K_Spruce_1	2	523.65
Grandview_1_(Conway)_GV1B	1	51.9
Pasadena_Cogeneration	1	0.0
Martin_Lake_3	2	0.0
Hydro_West_LZ	1	75.8
Laredo_Peaking_4	1	90.1
Handley_5	1	435.0
B_M_Davis_3	2	0.0
Panhandle_Wind_1_U1	2	54.6
Freeport_Energy_Center	2	0.0
W_A_Parish_1	2	0.0
Whitetail_Wind_Energy	2	45.5
Logan's_Gap_Wind_I_U1	1	51.9
Guadalupe_Generating_Station_1	2	0.0
Powerlane_Plant_2	2	0.0
Sherbino_1_Wind	2	0.0
Sam_Rayburn_GT_1	1	0.0
Trinidad_6	1	0.0
Cameron_Wind	2	82.5
Penascal_Wind_3	2	50.4
Sam_Rayburn_10	2	0.0
Cedar_Bayou_2	1	749.0
Elbow_Creek_Wind	1	59.35
Rattlesnake_Den_Wind_1_G2	1	51.5
Greens_Bayou_84	2	0.0
Permian_Basin_3	2	0.0
Trinity_Hills_Wind_2	2	53.75
McAdoo_Wind_Farm	1	75.0
Lone_Star_Wind_1_(Mesquite)	1	100.0
Longhorn_Wind_North_U2	2	50.0
O_W_Sommers_2	1	0.0
San_Jacinto_SES_CTG_2	2	0.0
Decker_Creek_G1	1	0.0
Mountain_Creek_8	1	568.0
Jack_County_Generation_Facility_1	1	595.0
Wolf_Hollow_Power_Proj_1	1	0.0
Sand_Hill_Energy_Center_GT_2	1	0.0
Cedro_Hill_Wind_2	2	37.5
Spencer_5	1	0.0
Stephens_Ranch_Wind_2	1	82.5
Harbor_Wind	2	4.5
Papalote_Creek_Wind_Farm_II	1	100.05
Spinning_Spur_3_Wind_1	1	48.0
Capricorn_Ridge_Wind_3	1	74.75
Buffalo_Gap_Wind_Farm_3	1	85.1
Decker_Creek_1	2	315.0
Ector_County_Energy	2	0.0
Bryan_Atkins_7	2	0.0
Notrees_Wind_Farm_2	2	30.0
V_H_Braunig_2	2	0.0
Oyster_Creek_Unit_VIII	1	248.95
Red_Canyon_Wind	2	0.0
Roscoe_Wind_Farm	2	0.0
Gulf_Wind_I	2	70.8
W_A_Parish_Petra_Nova	1	0.0
Forney_Energy_Center_1	2	911.0
Whirlwind_Energy	1	28.5
Pearsall_IC_Engine_Plant_A	1	0.0
Greens_Bayou_82	1	0.0
Deer_Park_Energy_Center_1	2	0.0
South_Plains_Wind_1	2	0.0
J_T_Deely_2	1	0.0
Victoria_Texas_Plant	2	0.0
Windthorst_2	1	33.8
Decker_Creek_G2	1	0.0
Pecos_Wind_(Woodward_1)	2	41.25
Panther_Creek_2	1	57.75
Ray_Olinger_3	2	0.0
Los_Vientos_Wind_I	1	100.05
Route_66_Wind	2	0.0
Mesquite_Creek_Wind_2	2	52.8
Horse_Hollow_Wind_3	2	104.0
T_H_Wharton_G_1	1	0.0
Sam_Rayburn_GT_2	2	0.0
Mountain_Creek_6	2	0.0
W_A_Parish_3	2	0.0
Bayou_Cogen_Plant	2	165.599999999999
San_Miguel_1	2	0.0
V_H_Braunig_7	2	0.0
South_Texas_U1	1	1286.0
Permian_Basin_4	1	0.0
Penascal_Wind_1	2	80.4
Twin_Oaks_2	1	0.0
Pearsall_3	1	0.0
Sim_Gideon_2	1	117.6
Permian_Basin_1	2	0.0
Greens_Bayou_81	1	0.0
Trent_Wind_Farm	2	0.0
Logan's_Gap_Wind_I_U2	1	53.15
Dallas-Fort_Worth_Area_LFG	1	35.8
Anacacho_Wind	2	49.9
Renewable_Energy_Alternatives_CCS1	1	1.0
Fayette_Power_Project_1	1	0.0
Panda_Temple_II_CTG1	2	0.0
Colorado_Bend_Energy_Center_2	2	0.0
Stanton_Wind_Energy	1	60.0
Magic_Valley_Wind_(Redfish)_1B	1	51.75
Big_Brown_2	1	0.0
Clear_Lake_Cogeneration_Ltd	2	0.0
Panther_Creek_1	1	71.25
Morgan_Creek_6	1	0.0
Forney_Energy_Center_2	1	911.0
Panhandle_Wind_1_U2	2	54.6
Senate_Wind	2	75.0
W_A_Parish_5	1	0.0
Austin_Area_LFG	2	6.4
Nueces_Bay_8	2	0.0
Keechi_Wind_138_KV_Joplin	2	55.0
Capricorn_Ridge_Wind_4	1	56.25
Ingleside_Cogeneration	2	0.0
King_Mountain_Wind_SE	2	20.15
Desert_Sky_Wind_Farm_1	1	42.0
Oklaunion_1	2	0.0
Mesquite_Creek_Wind_1	2	52.8
Downie_Ranch_Solar_(OCI_Alamo_5)	1	47.5
Fayette_Power_Project_3	2	0.0
Goat_Wind_2	2	34.8
Loraine_Windpark_I	1	24.75
Bosque_County_CC_1	2	514.0
Sim_Gideon_1	1	130.0
San_Antonio_Area_LFG	2	26.8
Pearsall_1	2	0.0
Longhorn_Wind_North_U1	2	50.0
King_Mountain_Wind_SW	1	39.65
Panda_Temple_1	1	702.0
San_Jacinto_SES_CTG_1	2	0.0
Webberville_Solar	1	13.3499999999999
